movie_genre_list,release_year,movie_count
Romantic Movies,1992,1
Children & Family Movies,1998,2
Action & Adventure,1988,1
Music & Musicals,1987,1
Action & Adventure,1990,4
Romantic Movies,1996,2
Horror Movies,1992,1
Sci-Fi & Fantasy,1992,1
Comedies,2006,22
Documentaries,1990,2
Dramas,1988,5
Romantic Movies,1988,1
Children & Family Movies,2006,6
Children & Family Movies,1993,1
Cult Movies,1998,3
International Movies,1990,3
Independent Movies,1993,2
Classic Movies,1985,1
Horror Movies,2003,4
Comedies,1991,4
Classic Movies,1991,1
Thrillers,1996,4
Romantic Movies,2003,4
Comedies,1986,2
Stand-Up Comedy,1987,1
LGBTQ Movies,1998,1
Independent Movies,1991,2
Sports Movies,1991,1
Faith & Spirituality,2000,1
International Movies,2004,20
Music & Musicals,1991,1
International Movies,1993,6
International Movies,1994,6
Dramas,1997,8
International Movies,1998,4
International Movies,1992,5
LGBTQ Movies,1993,1
Stand-Up Comedy,1992,2
Movies,2004,1
Children & Family Movies,2005,6
Action & Adventure,1994,4
Sci-Fi & Fantasy,2000,2
International Movies,2000,9
Cult Movies,1994,3
Documentaries,2006,3
Dramas,1996,7
Action & Adventure,1997,10
Children & Family Movies,1995,2
Horror Movies,1999,1
Comedies,2001,17
Dramas,1994,4
Action & Adventure,1995,6
Sci-Fi & Fantasy,1994,1
Faith & Spirituality,2005,1
International Movies,1996,3
Sci-Fi & Fantasy,1997,2
Cult Movies,1997,1
Thrillers,1997,5
Action & Adventure,1998,5
International Movies,2001,11
Comedies,1996,5
Thrillers,2001,2
Sports Movies,1996,1
Music & Musicals,2002,4
Sports Movies,1998,2
Independent Movies,1999,1
Sci-Fi & Fantasy,1999,3
Stand-Up Comedy,1998,1
Anime Features,2002,1
Action & Adventure,2000,6
Thrillers,2002,4
Thrillers,1999,1
Independent Movies,2005,6
Action & Adventure,2003,12
Action & Adventure,2001,8
Dramas,2003,11
Music & Musicals,2003,2
Documentaries,1988,1
Children & Family Movies,1997,1
Stand-Up Comedy,2000,1
Comedies,2000,12
Comedies,2002,8
Sports Movies,1988,1
Anime Features,2004,2
Music & Musicals,2000,2
Horror Movies,2002,2
Independent Movies,2003,1
Thrillers,2003,7
Independent Movies,2004,2
Dramas,2004,14
Comedies,2005,21
International Movies,1997,7
International Movies,1989,4
Stand-Up Comedy,1991,4
Dramas,1998,8
Independent Movies,1998,2
Romantic Movies,2004,4
Sci-Fi & Fantasy,1998,2
Children & Family Movies,1999,3
Romantic Movies,2000,4
Cult Movies,2001,2
Independent Movies,2000,1
Children & Family Movies,2002,3
Romantic Movies,2002,1
Music & Musicals,2001,1
Sci-Fi & Fantasy,2001,4
Children & Family Movies,2003,5
Action & Adventure,2002,12
Cult Movies,2004,3
Sci-Fi & Fantasy,2002,4
Sci-Fi & Fantasy,2003,4
Anime Features,2005,1
Romantic Movies,1993,1
Romantic Movies,2005,11
Documentaries,2002,2
International Movies,1995,6
Sci-Fi & Fantasy,2004,2
Independent Movies,2002,2
Thrillers,1998,2
Horror Movies,1996,1
Cult Movies,2006,1
Sci-Fi & Fantasy,2005,3
Sports Movies,2005,2
Anime Features,1998,1
Documentaries,2000,1
Thrillers,2005,2
Thrillers,2000,3
Dramas,1999,8
Music & Musicals,1999,2
International Movies,2005,22
Action & Adventure,2006,8
Dramas,2002,16
Comedies,2004,14
Horror Movies,2004,3
Sports Movies,2004,1
Documentaries,2005,2
Documentaries,1944,3
Classic Movies,1955,1
Classic Movies,1964,1
Independent Movies,1967,1
International Movies,1967,1
Classic Movies,1968,3
LGBTQ Movies,2006,1
Music & Musicals,2006,2
Faith & Spirituality,2007,1
Movies,2005,1
Romantic Movies,2006,9
Anime Features,2007,1
Independent Movies,2007,3
Children & Family Movies,2007,7
Sports Movies,2006,1
Faith & Spirituality,2006,1
Dramas,2006,24
Stand-Up Comedy,2006,4
Cult Movies,2007,3
Horror Movies,2006,4
Action & Adventure,2007,12
International Movies,2006,28
Independent Movies,2006,6
Sci-Fi & Fantasy,2006,6
Anime Features,2008,2
Music & Musicals,2007,6
Cult Movies,1970,1
Action & Adventure,1971,1
Romantic Movies,1972,1
Comedies,2007,22
Horror Movies,2007,4
Cult Movies,1974,1
Independent Movies,2008,8
LGBTQ Movies,2008,1
Horror Movies,2008,3
Comedies,1975,2
Action & Adventure,2008,20
Music & Musicals,1976,1
Documentaries,2008,4
Stand-Up Comedy,2008,4
Sports Movies,2008,3
Documentaries,2007,4
Action & Adventure,1978,4
Stand-Up Comedy,2007,1
Children & Family Movies,2009,10
Sci-Fi & Fantasy,2007,4
Classic Movies,1981,4
Thrillers,2008,5
Comedies,2008,28
Cult Movies,2008,2
Romantic Movies,2008,11
Cult Movies,2009,1
Classic Movies,1984,2
Movies,1988,1
Classic Movies,1989,1
Music & Musicals,1989,1
Horror Movies,2009,10
Sports Movies,2009,2
Sports Movies,1990,1
Dramas,2008,39
Faith & Spirituality,2008,3
Movies,2008,1
Independent Movies,2009,8
Stand-Up Comedy,1990,1
Music & Musicals,2009,6
Action & Adventure,2009,16
Anime Features,2009,2
Romantic Movies,2009,11
Children & Family Movies,1991,2
Comedies,2009,32
LGBTQ Movies,2009,1
Stand-Up Comedy,2009,1
Faith & Spirituality,2010,1
Thrillers,2009,8
Action & Adventure,1993,3
Comedies,2010,34
International Movies,2009,38
Anime Features,2010,2
Sports Movies,2010,2
Documentaries,2009,2
Stand-Up Comedy,2010,3
Comedies,1993,2
Horror Movies,1995,1
International Movies,2007,24
Sports Movies,2007,3
Independent Movies,2010,11
Music & Musicals,1995,2
Romantic Movies,2010,12
International Movies,2008,38
Thrillers,2007,6
Sci-Fi & Fantasy,1996,1
Music & Musicals,2008,8
LGBTQ Movies,2010,1
Children & Family Movies,2008,10
Sci-Fi & Fantasy,2008,5
International Movies,2010,60
Documentaries,1998,2
Romantic Movies,1998,2
Comedies,2011,34
Dramas,2011,42
Horror Movies,2011,7
Dramas,2009,30
Children & Family Movies,2010,15
Cult Movies,2010,1
Thrillers,2010,10
Anime Features,2012,2
Anime Features,2011,2
International Movies,1999,5
Documentaries,2011,7
Independent Movies,2001,2
Cult Movies,2012,2
Romantic Movies,2011,17
Sci-Fi & Fantasy,2009,16
Sports Movies,2002,1
Sci-Fi & Fantasy,2010,7
Sci-Fi & Fantasy,2011,4
Music & Musicals,2010,7
Documentaries,2012,10
Stand-Up Comedy,2002,1
Action & Adventure,2011,14
Stand-Up Comedy,2011,6
Horror Movies,2012,5
Children & Family Movies,2012,11
Movies,2010,2
International Movies,2011,44
Sports Movies,2011,5
Dramas,2012,43
Faith & Spirituality,2012,1
Action & Adventure,2012,21
Documentaries,2010,7
International Movies,2003,13
Dramas,2010,43
Horror Movies,2010,11
Music & Musicals,2011,4
Children & Family Movies,2011,14
Independent Movies,2011,10
Dramas,2005,19
Horror Movies,2005,1
Romantic Movies,2012,13
Music & Musicals,2012,14
Sports Movies,2012,3
International Movies,2012,65
Stand-Up Comedy,2012,12
Music & Musicals,2005,4
Thrillers,2012,6
Faith & Spirituality,2013,2
Anime Features,2006,1
Sci-Fi & Fantasy,2012,2
Comedies,2013,50
LGBTQ Movies,2013,2
Thrillers,2006,6
Documentaries,2013,30
Movies,2011,4
LGBTQ Movies,2012,2
Action & Adventure,2014,20
Dramas,2013,63
Music & Musicals,2013,17
Comedies,2014,60
Stand-Up Comedy,2013,8
Horror Movies,2013,10
Anime Features,2014,2
International Movies,2013,106
International Movies,2014,107
Faith & Spirituality,2014,5
Independent Movies,2013,27
Action & Adventure,2013,22
Romantic Movies,2013,12
Thrillers,2013,13
Thrillers,2014,30
Dramas,2014,86
Stand-Up Comedy,2014,9
Dramas,2007,27
Romantic Movies,2007,9
Comedies,2015,83
Cult Movies,2015,1
Faith & Spirituality,2015,4
Horror Movies,2014,16
Horror Movies,2015,16
Independent Movies,2014,30
Sci-Fi & Fantasy,2014,10
Action & Adventure,2015,45
Music & Musicals,2015,16
Children & Family Movies,2013,21
Movies,2015,8
Stand-Up Comedy,2015,17
International Movies,2015,197
Faith & Spirituality,2016,2
Dramas,2015,164
LGBTQ Movies,2015,9
Children & Family Movies,2016,43
Action & Adventure,2010,21
Action & Adventure,2016,65
Independent Movies,2015,62
Horror Movies,2016,27
Thrillers,2011,6
Anime Features,2016,4
Cult Movies,2016,1
Documentaries,2016,134
Sports Movies,2015,15
Documentaries,2015,65
Sports Movies,2016,30
Romantic Movies,2015,34
Sci-Fi & Fantasy,2015,13
Movies,2014,8
Children & Family Movies,2015,17
Music & Musicals,2016,23
Comedies,2016,131
Faith & Spirituality,2017,9
Dramas,2016,232
LGBTQ Movies,2016,9
Independent Movies,2016,91
Documentaries,2017,166
Sci-Fi & Fantasy,2016,17
Anime Features,2017,4
Dramas,2017,234
Movies,2017,5
Comedies,2012,44
Thrillers,2016,62
Sci-Fi & Fantasy,2013,5
International Movies,2016,282
Music & Musicals,2017,29
Romantic Movies,2014,26
Sports Movies,2014,7
International Movies,2017,297
Stand-Up Comedy,2017,56
Thrillers,2017,60
Movies,2016,7
Comedies,2017,142
Cult Movies,2017,1
Sports Movies,2017,28
Anime Features,2018,6
Independent Movies,2012,16
Documentaries,2014,26
Dramas,2018,233
Faith & Spirituality,2018,13
Music & Musicals,2014,8
Documentaries,2018,111
Movies,2012,2
Anime Features,2013,4
Horror Movies,2017,47
Romantic Movies,2017,53
Action & Adventure,2018,67
Cult Movies,2013,2
International Movies,2018,280
Sports Movies,2018,22
Stand-Up Comedy,2018,58
Comedies,2018,146
Sports Movies,2013,4
Cult Movies,2018,1
Children & Family Movies,2019,49
Sci-Fi & Fantasy,2018,38
Independent Movies,2018,101
Children & Family Movies,2017,41
LGBTQ Movies,2018,11
Thrillers,2018,66
Romantic Movies,2016,35
Sci-Fi & Fantasy,2017,19
Anime Features,2019,2
Comedies,2019,95
Movies,2018,10
Faith & Spirituality,2019,3
Romantic Movies,2019,33
Dramas,2019,131
LGBTQ Movies,2019,6
Children & Family Movies,2018,55
Children & Family Movies,2014,21
Thrillers,2019,43
Stand-Up Comedy,2019,47
International Movies,2020,3
Romantic Movies,2020,1
Comedies,2020,3
Sci-Fi & Fantasy,2019,13
International Movies,2019,153
Music & Musicals,2019,29
Independent Movies,2019,43
Documentaries,2019,71
Action & Adventure,2019,32
Independent Movies,2017,96
Dramas,2020,2
Action & Adventure,2020,1
LGBTQ Movies,2017,14
Stand-Up Comedy,2020,1
Horror Movies,2019,25
Thrillers,2020,2
Sports Movies,2019,16
Anime Features,2015,2
Thrillers,2015,29
Stand-Up Comedy,2016,37
Action & Adventure,2017,75
Horror Movies,2018,47
Music & Musicals,2018,37
Romantic Movies,2018,47
Movies,2019,6
Horror Movies,2020,1
